id,text,audio_path,format
25,Сколько будет 5 feet в meters,artifacts\audio_samples\0025.mp3,mp3
26,Split a EUR 48 bill between 5 people with 18% tip,artifacts\audio_samples\0026.mp3,mp3
27,Convert 100 meters to feet,artifacts\audio_samples\0027.mp3,mp3
28,Split a EUR 250 bill between 5 people with 5% tip,artifacts\audio_samples\0028.mp3,mp3
29,"Сколько платит каждый если счет 96 USD, людей 6, чаевые 15 процентов",artifacts\audio_samples\0029.mp3,mp3
30,Сколько будет 10 kilometers в miles,artifacts\audio_samples\0030.mp3,mp3
31,"How much should each person pay if dinner is 120 RUB, 4 people, tip 18 percent",artifacts\audio_samples\0031.mp3,mp3
32,Раздели счет 72 RUB на 7 человек с чаевыми 15 процентов,artifacts\audio_samples\0032.mp3,mp3
33,How many pounds are in 7.5 kilograms,artifacts\audio_samples\0033.mp3,mp3
34,Сколько будет 7.5 kilograms в pounds,artifacts\audio_samples\0034.mp3,mp3
35,"Сколько платит каждый если счет 96 USD, людей 7, чаевые 5 процентов",artifacts\audio_samples\0035.mp3,mp3
36,We paid 96 RUB; divide it for 5 friends and add a 5 percent tip,artifacts\audio_samples\0036.mp3,mp3
37,"How much should each person pay if dinner is 35 USD, 5 people, tip 0 percent",artifacts\audio_samples\0037.mp3,mp3
38,Сколько будет 3 kilometers в miles,artifacts\audio_samples\0038.mp3,mp3
39,Please translate 12 feet into meters,artifacts\audio_samples\0039.mp3,mp3
40,Просто поздоровайся и ничего не вызывай,artifacts\audio_samples\0040.mp3,mp3
41,"Скажи коротко, что такое градиентный спуск",artifacts\audio_samples\0041.mp3,mp3
42,"How much should each person pay if dinner is 120 RUB, 3 people, tip 12 percent",artifacts\audio_samples\0042.mp3,mp3
43,Convert 10 pounds to kilograms,artifacts\audio_samples\0043.mp3,mp3
44,How many kilometers are in 3 miles,artifacts\audio_samples\0044.mp3,mp3
45,We paid 120 EUR; divide it for 8 friends and add a 0 percent tip,artifacts\audio_samples\0045.mp3,mp3
46,Сколько будет 3 miles в kilometers,artifacts\audio_samples\0046.mp3,mp3
47,We paid 120 RUB; divide it for 3 friends and add a 5 percent tip,artifacts\audio_samples\0047.mp3,mp3
48,Раздели счет 96 USD на 6 человек с чаевыми 12 процентов,artifacts\audio_samples\0048.mp3,mp3
49,Раздели счет 72 EUR на 3 человек с чаевыми 10 процентов,artifacts\audio_samples\0049.mp3,mp3
50,Просто поздоровайся и ничего не вызывай,artifacts\audio_samples\0050.mp3,mp3
51,Раздели счет 48 EUR на 4 человек с чаевыми 15 процентов,artifacts\audio_samples\0051.mp3,mp3
52,We paid 250 USD; divide it for 6 friends and add a 10 percent tip,artifacts\audio_samples\0052.mp3,mp3
53,Раздели счет 35 EUR на 5 человек с чаевыми 18 процентов,artifacts\audio_samples\0053.mp3,mp3
54,Please translate 7.5 kilometers into miles,artifacts\audio_samples\0054.mp3,mp3
55,What can you do as a voice assistant,artifacts\audio_samples\0055.mp3,mp3
56,Сколько будет 10 kilometers в miles,artifacts\audio_samples\0056.mp3,mp3
57,Please translate 10 kilograms into pounds,artifacts\audio_samples\0057.mp3,mp3
58,Please translate 7.5 kilometers into miles,artifacts\audio_samples\0058.mp3,mp3
59,Split a RUB 96 bill between 3 people with 0% tip,artifacts\audio_samples\0059.mp3,mp3
60,Convert 7.5 pounds to kilograms,artifacts\audio_samples\0060.mp3,mp3
61,Convert 12 kilograms to pounds,artifacts\audio_samples\0061.mp3,mp3
62,Split a EUR 72 bill between 3 people with 10% tip,artifacts\audio_samples\0062.mp3,mp3
63,Split a EUR 250 bill between 8 people with 10% tip,artifacts\audio_samples\0063.mp3,mp3
64,Split a USD 48 bill between 2 people with 10% tip,artifacts\audio_samples\0064.mp3,mp3
65,Переведи 21 meters в feet,artifacts\audio_samples\0065.mp3,mp3
66,Please translate 3 feet into meters,artifacts\audio_samples\0066.mp3,mp3
67,Convert 100 feet to meters,artifacts\audio_samples\0067.mp3,mp3
68,Please translate 12 feet into meters,artifacts\audio_samples\0068.mp3,mp3
69,What can you do as a voice assistant,artifacts\audio_samples\0069.mp3,mp3
70,"How much should each person pay if dinner is 180 EUR, 5 people, tip 0 percent",artifacts\audio_samples\0070.mp3,mp3
71,Раздели счет 250 EUR на 8 человек с чаевыми 0 процентов,artifacts\audio_samples\0071.mp3,mp3
72,"Сколько платит каждый если счет 35 USD, людей 6, чаевые 10 процентов",artifacts\audio_samples\0072.mp3,mp3
73,Split a USD 35 bill between 3 people with 15% tip,artifacts\audio_samples\0073.mp3,mp3
74,"How much should each person pay if dinner is 120 RUB, 4 people, tip 15 percent",artifacts\audio_samples\0074.mp3,mp3
75,Раздели счет 120 EUR на 3 человек с чаевыми 10 процентов,artifacts\audio_samples\0075.mp3,mp3
76,We paid 250 USD; divide it for 5 friends and add a 18 percent tip,artifacts\audio_samples\0076.mp3,mp3
77,"Сколько платит каждый если счет 35 RUB, людей 7, чаевые 18 процентов",artifacts\audio_samples\0077.mp3,mp3
78,Split a USD 72 bill between 8 people with 5% tip,artifacts\audio_samples\0078.mp3,mp3
79,"How much should each person pay if dinner is 120 EUR, 5 people, tip 12 percent",artifacts\audio_samples\0079.mp3,mp3
80,"Сколько платит каждый если счет 180 USD, людей 6, чаевые 0 процентов",artifacts\audio_samples\0080.mp3,mp3
81,"How much should each person pay if dinner is 250 EUR, 8 people, tip 15 percent",artifacts\audio_samples\0081.mp3,mp3
82,Convert 21 kilometers to miles,artifacts\audio_samples\0082.mp3,mp3
83,Convert 10 feet to meters,artifacts\audio_samples\0083.mp3,mp3
84,"Скажи коротко, что такое градиентный спуск",artifacts\audio_samples\0084.mp3,mp3
85,Просто поздоровайся и ничего не вызывай,artifacts\audio_samples\0085.mp3,mp3
86,Сколько будет 21 miles в kilometers,artifacts\audio_samples\0086.mp3,mp3
87,What can you do as a voice assistant,artifacts\audio_samples\0087.mp3,mp3
88,What can you do as a voice assistant,artifacts\audio_samples\0088.mp3,mp3
89,"Сколько платит каждый если счет 180 EUR, людей 5, чаевые 15 процентов",artifacts\audio_samples\0089.mp3,mp3
90,Раздели счет 48 USD на 7 человек с чаевыми 12 процентов,artifacts\audio_samples\0090.mp3,mp3
91,What can you do as a voice assistant,artifacts\audio_samples\0091.mp3,mp3
92,How many miles are in 42 kilometers,artifacts\audio_samples\0092.mp3,mp3
93,We paid 72 EUR; divide it for 6 friends and add a 18 percent tip,artifacts\audio_samples\0093.mp3,mp3
94,Сколько будет 5 kilometers в miles,artifacts\audio_samples\0094.mp3,mp3
95,"Сколько платит каждый если счет 250 EUR, людей 7, чаевые 15 процентов",artifacts\audio_samples\0095.mp3,mp3
96,We paid 96 RUB; divide it for 5 friends and add a 15 percent tip,artifacts\audio_samples\0096.mp3,mp3
97,Tell me a short fun fact about machine learning,artifacts\audio_samples\0097.mp3,mp3
98,"How much should each person pay if dinner is 180 RUB, 5 people, tip 10 percent",artifacts\audio_samples\0098.mp3,mp3
99,We paid 180 USD; divide it for 6 friends and add a 18 percent tip,artifacts\audio_samples\0099.mp3,mp3
100,What can you do as a voice assistant,artifacts\audio_samples\0100.mp3,mp3
101,Переведи 21 miles в kilometers,artifacts\audio_samples\0101.mp3,mp3
102,Раздели счет 180 RUB на 7 человек с чаевыми 0 процентов,artifacts\audio_samples\0102.mp3,mp3
103,What can you do as a voice assistant,artifacts\audio_samples\0103.mp3,mp3
104,Сколько будет 7.5 pounds в kilograms,artifacts\audio_samples\0104.mp3,mp3
105,Split a USD 72 bill between 6 people with 5% tip,artifacts\audio_samples\0105.mp3,mp3
106,Tell me a short fun fact about machine learning,artifacts\audio_samples\0106.mp3,mp3
107,Tell me a short fun fact about machine learning,artifacts\audio_samples\0107.mp3,mp3
108,"Сколько платит каждый если счет 48 RUB, людей 6, чаевые 5 процентов",artifacts\audio_samples\0108.mp3,mp3
109,Split a USD 35 bill between 4 people with 12% tip,artifacts\audio_samples\0109.mp3,mp3
110,"How much should each person pay if dinner is 120 USD, 4 people, tip 18 percent",artifacts\audio_samples\0110.mp3,mp3
111,Сколько будет 100 kilometers в miles,artifacts\audio_samples\0111.mp3,mp3
112,Переведи 21 pounds в kilograms,artifacts\audio_samples\0112.mp3,mp3
113,What can you do as a voice assistant,artifacts\audio_samples\0113.mp3,mp3
114,"How much should each person pay if dinner is 250 EUR, 2 people, tip 12 percent",artifacts\audio_samples\0114.mp3,mp3
115,Please translate 10 miles into kilometers,artifacts\audio_samples\0115.mp3,mp3
116,Раздели счет 120 RUB на 4 человек с чаевыми 10 процентов,artifacts\audio_samples\0116.mp3,mp3
117,"How much should each person pay if dinner is 48 USD, 3 people, tip 12 percent",artifacts\audio_samples\0117.mp3,mp3
118,Сколько будет 21 feet в meters,artifacts\audio_samples\0118.mp3,mp3
119,We paid 48 RUB; divide it for 5 friends and add a 18 percent tip,artifacts\audio_samples\0119.mp3,mp3
120,"How much should each person pay if dinner is 72 EUR, 8 people, tip 0 percent",artifacts\audio_samples\0120.mp3,mp3
121,Просто поздоровайся и ничего не вызывай,artifacts\audio_samples\0121.mp3,mp3
122,"How much should each person pay if dinner is 120 USD, 7 people, tip 10 percent",artifacts\audio_samples\0122.mp3,mp3
123,Tell me a short fun fact about machine learning,artifacts\audio_samples\0123.mp3,mp3
124,Раздели счет 120 EUR на 5 человек с чаевыми 18 процентов,artifacts\audio_samples\0124.mp3,mp3
125,"How much should each person pay if dinner is 180 EUR, 4 people, tip 18 percent",artifacts\audio_samples\0125.mp3,mp3
126,"Сколько платит каждый если счет 250 RUB, людей 5, чаевые 18 процентов",artifacts\audio_samples\0126.mp3,mp3
127,Please translate 42 meters into feet,artifacts\audio_samples\0127.mp3,mp3
128,"How much should each person pay if dinner is 96 USD, 7 people, tip 5 percent",artifacts\audio_samples\0128.mp3,mp3
129,Please translate 12 miles into kilometers,artifacts\audio_samples\0129.mp3,mp3
130,Переведи 42 feet в meters,artifacts\audio_samples\0130.mp3,mp3
131,Split a RUB 35 bill between 8 people with 5% tip,artifacts\audio_samples\0131.mp3,mp3
132,Convert 12 meters to feet,artifacts\audio_samples\0132.mp3,mp3
133,Please translate 100 kilograms into pounds,artifacts\audio_samples\0133.mp3,mp3
134,Сколько будет 21 kilometers в miles,artifacts\audio_samples\0134.mp3,mp3
135,How many miles are in 3 kilometers,artifacts\audio_samples\0135.mp3,mp3
136,We paid 48 RUB; divide it for 5 friends and add a 5 percent tip,artifacts\audio_samples\0136.mp3,mp3
137,Переведи 5 kilograms в pounds,artifacts\audio_samples\0137.mp3,mp3
138,Convert 7.5 kilometers to miles,artifacts\audio_samples\0138.mp3,mp3
139,"Сколько платит каждый если счет 96 RUB, людей 2, чаевые 5 процентов",artifacts\audio_samples\0139.mp3,mp3
140,Просто поздоровайся и ничего не вызывай,artifacts\audio_samples\0140.mp3,mp3
141,Please translate 21 meters into feet,artifacts\audio_samples\0141.mp3,mp3
142,"How much should each person pay if dinner is 96 EUR, 4 people, tip 12 percent",artifacts\audio_samples\0142.mp3,mp3
143,"How much should each person pay if dinner is 96 EUR, 3 people, tip 0 percent",artifacts\audio_samples\0143.mp3,mp3
144,"How much should each person pay if dinner is 250 EUR, 5 people, tip 5 percent",artifacts\audio_samples\0144.mp3,mp3
145,How many feet are in 42 meters,artifacts\audio_samples\0145.mp3,mp3
146,Сколько будет 42 kilometers в miles,artifacts\audio_samples\0146.mp3,mp3
147,Сколько будет 12 feet в meters,artifacts\audio_samples\0147.mp3,mp3
148,Раздели счет 120 EUR на 6 человек с чаевыми 15 процентов,artifacts\audio_samples\0148.mp3,mp3
149,"Сколько платит каждый если счет 72 USD, людей 4, чаевые 5 процентов",artifacts\audio_samples\0149.mp3,mp3
150,"Скажи коротко, что такое градиентный спуск",artifacts\audio_samples\0150.mp3,mp3
151,Convert 42 pounds to kilograms,artifacts\audio_samples\0151.mp3,mp3
152,"Скажи коротко, что такое градиентный спуск",artifacts\audio_samples\0152.mp3,mp3
153,"Сколько платит каждый если счет 48 RUB, людей 3, чаевые 12 процентов",artifacts\audio_samples\0153.mp3,mp3
154,Раздели счет 48 RUB на 8 человек с чаевыми 10 процентов,artifacts\audio_samples\0154.mp3,mp3
155,Раздели счет 180 EUR на 8 человек с чаевыми 10 процентов,artifacts\audio_samples\0155.mp3,mp3
156,Сколько будет 10 miles в kilometers,artifacts\audio_samples\0156.mp3,mp3
157,How many kilograms are in 7.5 pounds,artifacts\audio_samples\0157.mp3,mp3
158,Split a RUB 250 bill between 8 people with 18% tip,artifacts\audio_samples\0158.mp3,mp3
159,Please translate 3 meters into feet,artifacts\audio_samples\0159.mp3,mp3
160,"Скажи коротко, что такое градиентный спуск",artifacts\audio_samples\0160.mp3,mp3
161,Раздели счет 120 USD на 7 человек с чаевыми 10 процентов,artifacts\audio_samples\0161.mp3,mp3
162,We paid 180 RUB; divide it for 2 friends and add a 5 percent tip,artifacts\audio_samples\0162.mp3,mp3
163,"How much should each person pay if dinner is 120 USD, 5 people, tip 15 percent",artifacts\audio_samples\0163.mp3,mp3
164,Раздели счет 72 EUR на 6 человек с чаевыми 0 процентов,artifacts\audio_samples\0164.mp3,mp3
165,Split a RUB 72 bill between 3 people with 18% tip,artifacts\audio_samples\0165.mp3,mp3
166,Please translate 3 kilometers into miles,artifacts\audio_samples\0166.mp3,mp3
167,Convert 12 meters to feet,artifacts\audio_samples\0167.mp3,mp3
168,Раздели счет 48 EUR на 8 человек с чаевыми 0 процентов,artifacts\audio_samples\0168.mp3,mp3
169,Раздели счет 250 USD на 3 человек с чаевыми 5 процентов,artifacts\audio_samples\0169.mp3,mp3
170,Раздели счет 48 RUB на 6 человек с чаевыми 12 процентов,artifacts\audio_samples\0170.mp3,mp3
171,How many kilograms are in 21 pounds,artifacts\audio_samples\0171.mp3,mp3
172,Просто поздоровайся и ничего не вызывай,artifacts\audio_samples\0172.mp3,mp3
173,Просто поздоровайся и ничего не вызывай,artifacts\audio_samples\0173.mp3,mp3
174,Split a USD 48 bill between 7 people with 5% tip,artifacts\audio_samples\0174.mp3,mp3
175,Split a USD 180 bill between 6 people with 18% tip,artifacts\audio_samples\0175.mp3,mp3
176,Split a EUR 180 bill between 5 people with 5% tip,artifacts\audio_samples\0176.mp3,mp3
177,Please translate 7.5 pounds into kilograms,artifacts\audio_samples\0177.mp3,mp3
178,"Сколько платит каждый если счет 72 EUR, людей 5, чаевые 0 процентов",artifacts\audio_samples\0178.mp3,mp3
179,Переведи 12 meters в feet,artifacts\audio_samples\0179.mp3,mp3
180,Tell me a short fun fact about machine learning,artifacts\audio_samples\0180.mp3,mp3
181,Переведи 10 meters в feet,artifacts\audio_samples\0181.mp3,mp3
182,"Сколько платит каждый если счет 180 RUB, людей 6, чаевые 0 процентов",artifacts\audio_samples\0182.mp3,mp3
183,Раздели счет 72 EUR на 7 человек с чаевыми 0 процентов,artifacts\audio_samples\0183.mp3,mp3
184,Split a RUB 250 bill between 8 people with 15% tip,artifacts\audio_samples\0184.mp3,mp3
185,Convert 12 kilometers to miles,artifacts\audio_samples\0185.mp3,mp3
186,Переведи 5 kilograms в pounds,artifacts\audio_samples\0186.mp3,mp3
187,Сколько будет 42 pounds в kilograms,artifacts\audio_samples\0187.mp3,mp3
188,Просто поздоровайся и ничего не вызывай,artifacts\audio_samples\0188.mp3,mp3
189,How many feet are in 7.5 meters,artifacts\audio_samples\0189.mp3,mp3
190,"How much should each person pay if dinner is 96 RUB, 2 people, tip 5 percent",artifacts\audio_samples\0190.mp3,mp3
191,"Сколько платит каждый если счет 35 RUB, людей 7, чаевые 0 процентов",artifacts\audio_samples\0191.mp3,mp3
192,"How much should each person pay if dinner is 250 USD, 4 people, tip 18 percent",artifacts\audio_samples\0192.mp3,mp3
193,"Скажи коротко, что такое градиентный спуск",artifacts\audio_samples\0193.mp3,mp3
194,We paid 96 EUR; divide it for 7 friends and add a 5 percent tip,artifacts\audio_samples\0194.mp3,mp3
195,Convert 21 feet to meters,artifacts\audio_samples\0195.mp3,mp3
196,How many meters are in 7.5 feet,artifacts\audio_samples\0196.mp3,mp3
197,Переведи 100 kilograms в pounds,artifacts\audio_samples\0197.mp3,mp3
198,How many meters are in 3 feet,artifacts\audio_samples\0198.mp3,mp3
199,"How much should each person pay if dinner is 35 USD, 6 people, tip 12 percent",artifacts\audio_samples\0199.mp3,mp3
200,"Сколько платит каждый если счет 120 EUR, людей 4, чаевые 10 процентов",artifacts\audio_samples\0200.mp3,mp3
201,"Сколько платит каждый если счет 120 USD, людей 8, чаевые 15 процентов",artifacts\audio_samples\0201.mp3,mp3
202,Split a RUB 72 bill between 8 people with 5% tip,artifacts\audio_samples\0202.mp3,mp3
203,Convert 100 feet to meters,artifacts\audio_samples\0203.mp3,mp3
204,Convert 42 feet to meters,artifacts\audio_samples\0204.mp3,mp3
205,"How much should each person pay if dinner is 35 RUB, 4 people, tip 5 percent",artifacts\audio_samples\0205.mp3,mp3
206,Tell me a short fun fact about machine learning,artifacts\audio_samples\0206.mp3,mp3
207,"Сколько платит каждый если счет 35 RUB, людей 3, чаевые 18 процентов",artifacts\audio_samples\0207.mp3,mp3
208,"How much should each person pay if dinner is 96 USD, 6 people, tip 18 percent",artifacts\audio_samples\0208.mp3,mp3
209,Просто поздоровайся и ничего не вызывай,artifacts\audio_samples\0209.mp3,mp3
210,Tell me a short fun fact about machine learning,artifacts\audio_samples\0210.mp3,mp3
211,"Скажи коротко, что такое градиентный спуск",artifacts\audio_samples\0211.mp3,mp3
212,Please translate 100 kilometers into miles,artifacts\audio_samples\0212.mp3,mp3
213,Split a USD 180 bill between 2 people with 10% tip,artifacts\audio_samples\0213.mp3,mp3
214,Split a EUR 180 bill between 2 people with 12% tip,artifacts\audio_samples\0214.mp3,mp3
215,"Скажи коротко, что такое градиентный спуск",artifacts\audio_samples\0215.mp3,mp3
216,Convert 10 feet to meters,artifacts\audio_samples\0216.mp3,mp3
217,Переведи 10 kilograms в pounds,artifacts\audio_samples\0217.mp3,mp3
218,Convert 10 kilometers to miles,artifacts\audio_samples\0218.mp3,mp3
219,"Сколько платит каждый если счет 120 RUB, людей 2, чаевые 12 процентов",artifacts\audio_samples\0219.mp3,mp3
220,"Сколько платит каждый если счет 48 USD, людей 3, чаевые 15 процентов",artifacts\audio_samples\0220.mp3,mp3
221,How many feet are in 42 meters,artifacts\audio_samples\0221.mp3,mp3
222,Convert 3 meters to feet,artifacts\audio_samples\0222.mp3,mp3
223,Сколько будет 7.5 kilograms в pounds,artifacts\audio_samples\0223.mp3,mp3
224,How many kilograms are in 100 pounds,artifacts\audio_samples\0224.mp3,mp3
225,Переведи 21 miles в kilometers,artifacts\audio_samples\0225.mp3,mp3
226,Переведи 7.5 kilometers в miles,artifacts\audio_samples\0226.mp3,mp3
227,"Сколько платит каждый если счет 180 EUR, людей 5, чаевые 18 процентов",artifacts\audio_samples\0227.mp3,mp3
228,"Сколько платит каждый если счет 72 RUB, людей 2, чаевые 18 процентов",artifacts\audio_samples\0228.mp3,mp3
229,We paid 72 EUR; divide it for 3 friends and add a 0 percent tip,artifacts\audio_samples\0229.mp3,mp3
230,"Скажи коротко, что такое градиентный спуск",artifacts\audio_samples\0230.mp3,mp3
231,We paid 120 EUR; divide it for 2 friends and add a 0 percent tip,artifacts\audio_samples\0231.mp3,mp3
232,Переведи 5 miles в kilometers,artifacts\audio_samples\0232.mp3,mp3
233,Сколько будет 7.5 kilograms в pounds,artifacts\audio_samples\0233.mp3,mp3
234,Просто поздоровайся и ничего не вызывай,artifacts\audio_samples\0234.mp3,mp3
235,"How much should each person pay if dinner is 48 RUB, 2 people, tip 15 percent",artifacts\audio_samples\0235.mp3,mp3
236,"How much should each person pay if dinner is 72 RUB, 2 people, tip 12 percent",artifacts\audio_samples\0236.mp3,mp3
237,Просто поздоровайся и ничего не вызывай,artifacts\audio_samples\0237.mp3,mp3
238,Сколько будет 3 feet в meters,artifacts\audio_samples\0238.mp3,mp3
239,Split a EUR 48 bill between 8 people with 10% tip,artifacts\audio_samples\0239.mp3,mp3
240,What can you do as a voice assistant,artifacts\audio_samples\0240.mp3,mp3
241,Раздели счет 96 EUR на 7 человек с чаевыми 10 процентов,artifacts\audio_samples\0241.mp3,mp3
242,Please translate 42 feet into meters,artifacts\audio_samples\0242.mp3,mp3
243,"Скажи коротко, что такое градиентный спуск",artifacts\audio_samples\0243.mp3,mp3
244,"How much should each person pay if dinner is 120 USD, 2 people, tip 5 percent",artifacts\audio_samples\0244.mp3,mp3
245,Please translate 42 miles into kilometers,artifacts\audio_samples\0245.mp3,mp3
246,"Сколько платит каждый если счет 35 USD, людей 3, чаевые 12 процентов",artifacts\audio_samples\0246.mp3,mp3
247,"Сколько платит каждый если счет 120 RUB, людей 5, чаевые 5 процентов",artifacts\audio_samples\0247.mp3,mp3
248,"How much should each person pay if dinner is 120 RUB, 6 people, tip 12 percent",artifacts\audio_samples\0248.mp3,mp3
249,"How much should each person pay if dinner is 96 RUB, 3 people, tip 5 percent",artifacts\audio_samples\0249.mp3,mp3
250,We paid 120 EUR; divide it for 8 friends and add a 5 percent tip,artifacts\audio_samples\0250.mp3,mp3
251,"Скажи коротко, что такое градиентный спуск",artifacts\audio_samples\0251.mp3,mp3
252,Split a RUB 96 bill between 7 people with 12% tip,artifacts\audio_samples\0252.mp3,mp3
253,Сколько будет 3 kilograms в pounds,artifacts\audio_samples\0253.mp3,mp3
254,"Сколько платит каждый если счет 72 USD, людей 8, чаевые 12 процентов",artifacts\audio_samples\0254.mp3,mp3
255,What can you do as a voice assistant,artifacts\audio_samples\0255.mp3,mp3
256,Переведи 21 meters в feet,artifacts\audio_samples\0256.mp3,mp3
257,Сколько будет 3 feet в meters,artifacts\audio_samples\0257.mp3,mp3
258,"Сколько платит каждый если счет 120 RUB, людей 4, чаевые 5 процентов",artifacts\audio_samples\0258.mp3,mp3
259,We paid 250 USD; divide it for 7 friends and add a 0 percent tip,artifacts\audio_samples\0259.mp3,mp3
260,We paid 96 EUR; divide it for 6 friends and add a 12 percent tip,artifacts\audio_samples\0260.mp3,mp3
261,Split a RUB 48 bill between 4 people with 0% tip,artifacts\audio_samples\0261.mp3,mp3
262,Tell me a short fun fact about machine learning,artifacts\audio_samples\0262.mp3,mp3
263,"Сколько платит каждый если счет 35 EUR, людей 5, чаевые 15 процентов",artifacts\audio_samples\0263.mp3,mp3
264,Tell me a short fun fact about machine learning,artifacts\audio_samples\0264.mp3,mp3
265,Split a USD 72 bill between 4 people with 0% tip,artifacts\audio_samples\0265.mp3,mp3
266,Переведи 7.5 feet в meters,artifacts\audio_samples\0266.mp3,mp3
267,Раздели счет 35 RUB на 8 человек с чаевыми 5 процентов,artifacts\audio_samples\0267.mp3,mp3
268,We paid 48 EUR; divide it for 2 friends and add a 0 percent tip,artifacts\audio_samples\0268.mp3,mp3
269,Раздели счет 96 RUB на 8 человек с чаевыми 0 процентов,artifacts\audio_samples\0269.mp3,mp3
270,Convert 7.5 kilometers to miles,artifacts\audio_samples\0270.mp3,mp3
271,Переведи 42 kilometers в miles,artifacts\audio_samples\0271.mp3,mp3
272,Please translate 100 feet into meters,artifacts\audio_samples\0272.mp3,mp3
273,How many meters are in 3 feet,artifacts\audio_samples\0273.mp3,mp3
274,"Сколько платит каждый если счет 35 RUB, людей 4, чаевые 18 процентов",artifacts\audio_samples\0274.mp3,mp3
275,We paid 35 USD; divide it for 4 friends and add a 5 percent tip,artifacts\audio_samples\0275.mp3,mp3
276,Переведи 12 meters в feet,artifacts\audio_samples\0276.mp3,mp3
277,Convert 10 meters to feet,artifacts\audio_samples\0277.mp3,mp3
278,"How much should each person pay if dinner is 180 RUB, 2 people, tip 15 percent",artifacts\audio_samples\0278.mp3,mp3
279,We paid 250 EUR; divide it for 6 friends and add a 15 percent tip,artifacts\audio_samples\0279.mp3,mp3
280,Переведи 7.5 kilograms в pounds,artifacts\audio_samples\0280.mp3,mp3
281,Раздели счет 120 RUB на 6 человек с чаевыми 10 процентов,artifacts\audio_samples\0281.mp3,mp3
282,"Сколько платит каждый если счет 180 USD, людей 8, чаевые 10 процентов",artifacts\audio_samples\0282.mp3,mp3
283,"How much should each person pay if dinner is 72 EUR, 8 people, tip 15 percent",artifacts\audio_samples\0283.mp3,mp3
284,We paid 250 USD; divide it for 6 friends and add a 5 percent tip,artifacts\audio_samples\0284.mp3,mp3
285,Please translate 21 pounds into kilograms,artifacts\audio_samples\0285.mp3,mp3
286,Please translate 5 pounds into kilograms,artifacts\audio_samples\0286.mp3,mp3
287,Раздели счет 96 RUB на 6 человек с чаевыми 12 процентов,artifacts\audio_samples\0287.mp3,mp3
288,Переведи 21 feet в meters,artifacts\audio_samples\0288.mp3,mp3
289,Convert 42 meters to feet,artifacts\audio_samples\0289.mp3,mp3
290,Please translate 42 pounds into kilograms,artifacts\audio_samples\0290.mp3,mp3
291,Please translate 100 kilometers into miles,artifacts\audio_samples\0291.mp3,mp3
292,"How much should each person pay if dinner is 35 RUB, 6 people, tip 0 percent",artifacts\audio_samples\0292.mp3,mp3
293,Please translate 3 kilometers into miles,artifacts\audio_samples\0293.mp3,mp3
294,Split a EUR 96 bill between 4 people with 18% tip,artifacts\audio_samples\0294.mp3,mp3
295,Split a USD 35 bill between 2 people with 5% tip,artifacts\audio_samples\0295.mp3,mp3
296,Сколько будет 100 kilometers в miles,artifacts\audio_samples\0296.mp3,mp3
297,How many feet are in 3 meters,artifacts\audio_samples\0297.mp3,mp3
298,Split a RUB 96 bill between 3 people with 0% tip,artifacts\audio_samples\0298.mp3,mp3
