pair_id,query_id,query,organization_name,category,public_description,public_tags,review_snippets,hidden_tags,label,relevance_score
20,kids_cafe,семейное кафе с игровой комнатой,Атлас Лофт,bar,паб кофейня громкая музыка место для ноутбука матчи,bar cafe loud_music power_outlets sports_broadcasts,"В отзывах часто пишут: футбол, громкая музыка.",adults_only gluten_free water_for_pets,0,0.04
21,kids_cafe,семейное кафе с игровой комнатой,Город Room,pharmacy,круглосуточно заказ онлайн детские праздники аптека,24h delivery kids_party pharmacy,"В отзывах часто пишут: аптека, круглосуточно, только для взрослых, детские праздники.",adults_only good_coffee,0,0.0
22,pet_friendly,pet friendly кафе,Фонарь Daily,bar,напитки удобно с детьми детские праздники пускают с питомцами,bar family_friendly kids_party pet_friendly,"В отзывах часто пишут: дружелюбно к семье, ночью открыто, полезное меню.",24h healthy_food no_pets,0,0.43
23,romantic_jazz_bar,романтичный джаз-бар,Атлас на углу,bar,круглосуточно летняя площадка интернет,24h terrace wifi,"В отзывах часто пишут: заказ онлайн, ночью открыто, вайфай, терраса.",delivery sports_broadcasts,0,0.0
24,vegan_food,ресторан с vegan меню,Место Room,restaurant,с животными нельзя ужин,no_pets restaurant,"В отзывах часто пишут: большой экран, авторские напитки, свидание, с животными нельзя.",big_screen cocktails romantic,0,0.0
25,late_pharmacy,где купить лекарства поздно,Мята на Тверской,pharmacy,десерты детское меню работает допоздна только мясо лекарства,cafe kids_room late_hours meat_only pharmacy quiet sports_broadcasts,"В отзывах часто пишут: только мясо, до ночи, кофейня.",closed_evening terrace,0,0.04
26,vegan_food,ресторан с vegan меню,Соль Плюс,bar,бар заказ онлайн здоровая еда только мясо заказ столика,bar delivery healthy_food meat_only reservation vegan,"В отзывах часто пишут: gluten free, заказ онлайн, веган, здоровая еда.",cocktails gluten_free good_food meat_only power_outlets wifi,1,0.65
27,late_pharmacy,круглосуточная аптека рядом,Фонарь на Тверской,bar,бар барная карта уютный свет растительное меню,bar cocktails romantic vegan,"В отзывах часто пишут: бар, свидание.",closed_evening good_food,0,0.0
28,romantic_jazz_bar,романтичный джаз-бар,Фонарь Room,cafe,кофе саксофон с животными нельзя веган,cafe jazz no_pets vegan,"В отзывах часто пишут: терраса, с животными нельзя.",kids_party noisy terrace,0,0.0
29,sports_bar,паб с большим экраном,Лампа Лофт,bar,паб gluten free живая музыка растительное меню,bar gluten_free live_music vegan,"В отзывах часто пишут: gluten free, веган.",cafe jazz romantic water_for_pets,0,0.39
30,sports_bar,паб с большим экраном,Оливка на углу,restaurant,gluten free интернет,gluten_free wifi,"В отзывах часто пишут: круглосуточно, трансляции, gluten free.",24h bar beer good_coffee sports_broadcasts,1,0.8533
31,kids_cafe,куда сходить с ребенком поесть,Место на Тверской,pharmacy,круглосуточно аниматор лекарства только навынос,24h kids_room pharmacy takeaway_only,"В отзывах часто пишут: только для взрослых, блюда, у метро, 24 часа, только навынос.",adults_only near_metro restaurant vegan,0,0.04
32,kids_cafe,кафе для детей,Соль Daily,restaurant,капучино детское меню резерв блюда без молока и мяса,good_coffee kids_room reservation restaurant vegan,"В отзывах часто пишут: не шумно, растительное меню, ресторан, капучино.",healthy_food quiet,0,0.39
33,quiet_coworking,кофейня с розетками и wifi,Фонарь Лофт,cafe,кофе авторские напитки зерно полезное меню очень шумно,cafe cocktails good_coffee healthy_food noisy quiet,"В отзывах часто пишут: заказ онлайн, капучино, розетки.",big_screen closed_evening delivery long_stay power_outlets wifi,1,1.0
34,romantic_jazz_bar,романтичный джаз-бар,Мята Daily,restaurant,удобно с детьми саксофон,family_friendly jazz,"В отзывах часто пишут: удобно с детьми, авторские напитки.",adults_only bar closed_evening cocktails live_music near_metro pet_friendly romantic,1,0.9267
35,kids_cafe,семейное кафе с игровой комнатой,Место на Тверской,restaurant,24 часа можно сидеть долго ресторан романтичный интернет,24h long_stay restaurant romantic wifi,"В отзывах часто пишут: блюда, pet friendly, свидание, ночью открыто, пиво.",beer family_friendly pet_friendly,0,0.0733
36,terrace_restaurant,ужин на летней террасе,Атлас на Тверской,bar,дружелюбно к семье зерно сильная кухня очень шумно летняя площадка,family_friendly good_coffee good_food noisy terrace wifi,"В отзывах часто пишут: резерв, зерно, романтичный, летняя площадка.",delivery reservation restaurant romantic,1,1.0
37,pet_friendly,заведение с животными,Север Лофт,bar,заботливые официанты громкая музыка пускают с питомцами место для ноутбука веган,friendly_staff loud_music pet_friendly power_outlets vegan,"В отзывах часто пишут: вода питомцам, место для ноутбука, аниматор, громкая музыка.",family_friendly kids_room power_outlets water_for_pets,1,0.9267
38,vegan_food,ресторан с vegan меню,Север Плюс,restaurant,выступления очень шумно тихо ужин вайфай,live_music noisy quiet restaurant wifi,"В отзывах часто пишут: заказ онлайн, бар, живая музыка, очень шумно.",bar delivery meat_only takeaway_only,0,0.0
39,terrace_restaurant,ресторан с верандой,Город на Тверской,restaurant,хороший кофе ресторан веранда,good_coffee restaurant terrace,"В отзывах часто пишут: вайфай, терраса, удобно с детьми, блюда, хороший кофе.",beer family_friendly wifi,1,0.8533
40,terrace_restaurant,ужин на летней террасе,Город Плюс,restaurant,только для взрослых кофейня очень шумно ужин веган,adults_only cafe noisy restaurant vegan,"В отзывах часто пишут: вайфай, можно с собакой, растительное меню, только для взрослых.",family_friendly good_food pet_friendly takeaway_only terrace wifi,0,0.5767
41,romantic_jazz_bar,романтичный джаз-бар,Атлас Плюс,bar,ночью открыто барная карта заказ онлайн джаз живая музыка,24h cocktails delivery jazz live_music romantic sports_broadcasts vegan,"В отзывах часто пишут: матчи, паб, авторские напитки.",bar late_hours long_stay pet_friendly,1,1.0
42,pet_friendly,заведение с животными,Атлас на Тверской,restaurant,зарядка миска для собаки,power_outlets water_for_pets,"В отзывах часто пишут: концерты, pet friendly, розетки, миска для собаки.",live_music pet_friendly takeaway_only,1,0.8533
43,romantic_jazz_bar,бар с живым джазом для свидания,Место Daily,restaurant,коктейли живая музыка удобные столы кухня,bar jazz long_stay restaurant,"В отзывах часто пишут: удобные столы, концерты.",live_music,0,0.5933
44,late_pharmacy,аптека ночью,Место Daily,bar,коктейли пиво десерты детская комната с животными нельзя,bar beer cafe kids_room no_pets romantic,"В отзывах часто пишут: детское меню, кафе, веранда, романтичный, фармацевт.",noisy pharmacy terrace vegan,0,0.39
45,sports_bar,бар посмотреть футбол,Место Плюс,cafe,эль вкусно уютный свет только навынос,beer good_food romantic takeaway_only,"В отзывах часто пишут: бронь, без глютена.",bar closed_evening gluten_free late_hours near_metro reservation sports_broadcasts,1,0.9267
46,sports_bar,спортбар с трансляциями,Фонарь Daily,pharmacy,до ночи лекарства романтичный,late_hours pharmacy romantic,"В отзывах часто пишут: без глютена, уютный свет.",bar big_screen gluten_free jazz no_pets sports_broadcasts water_for_pets,1,0.9267
47,kids_cafe,кафе для детей,Фонарь Парк,bar,коктейли детские праздники детская комната розетки футбол,bar kids_party kids_room power_outlets sports_broadcasts,"В отзывах часто пишут: бар, место для ноутбука.",jazz no_pets noisy,0,0.39
48,terrace_restaurant,ресторан с верандой,Город Лофт,restaurant,ужин вайфай,restaurant wifi,"В отзывах часто пишут: удобно с детьми, летняя площадка.",adults_only family_friendly good_food jazz terrace vegan,1,0.9267
49,sports_bar,бар посмотреть футбол,Мята на Тверской,restaurant,романтичный веган,romantic vegan,"В отзывах часто пишут: без глютена, удобно с детьми, романтичный.",family_friendly gluten_free water_for_pets,0,0.0
50,quiet_coworking,тихое место поработать с ноутбуком,Мята Парк,cafe,аниматор можно сидеть долго очень шумно романтичный вода питомцам,kids_room long_stay noisy romantic water_for_pets,"В отзывах часто пишут: дружелюбно к семье, миска для собаки, романтичный, детское меню, удобные столы.",bar family_friendly loud_music,0,0.0
51,romantic_jazz_bar,уютный джазовый бар,Мята Плюс,cafe,только для взрослых детское меню,adults_only kids_room,"В отзывах часто пишут: очень шумно, тихо, аниматор, только для взрослых, вежливый персонал.",friendly_staff meat_only noisy quiet wifi,0,0.0
52,vegan_food,веганское кафе,Атлас Плюс,restaurant,закрывается рано саксофон веган интернет,closed_evening jazz vegan wifi,"В отзывах часто пишут: пускают с питомцами, без молока и мяса, хорошие блюда.",gluten_free good_food kids_room noisy pet_friendly,1,0.9267
53,kids_cafe,куда сходить с ребенком поесть,Мята Station,pharmacy,коктейли кафе лекарства только навынос,bar cafe pharmacy takeaway_only,"В отзывах часто пишут: живая музыка, летняя площадка, кофейня, коктейли, без глютена.",gluten_free jazz terrace,0,0.39
54,late_pharmacy,где купить лекарства поздно,Лампа на Тверской,bar,эль детские праздники,beer kids_party,"В отзывах часто пишут: аптека, эль.",24h delivery near_metro no_pets pharmacy,1,1.0
55,vegan_food,ресторан с vegan меню,Атлас Room,cafe,коктейли вкусно здоровая еда заказ столика растительное меню,cocktails good_food healthy_food reservation vegan,"В отзывах часто пишут: авторские напитки, только для взрослых.",adults_only gluten_free late_hours,1,1.0
56,late_pharmacy,аптека ночью,Мята Daily,cafe,детское меню концерты можно с собакой летняя площадка без молока и мяса,kids_room live_music pet_friendly terrace vegan,"В отзывах часто пишут: живая музыка, можно с собакой, аниматор, семейно, веранда.",family_friendly friendly_staff,0,0.0
57,quiet_coworking,спокойное кафе для работы,Оливка Парк,restaurant,заботливые официанты джаз кухня,friendly_staff jazz restaurant,"В отзывах часто пишут: громкая музыка, заботливые официанты, уютный свет, живая музыка.",loud_music romantic,0,0.0
58,romantic_jazz_bar,романтичный джаз-бар,Соль Плюс,bar,коктейли закрывается рано дружелюбно к семье живая музыка детские праздники,bar closed_evening family_friendly jazz kids_party loud_music,"В отзывах часто пишут: барная карта, не торопят, громкая музыка, детские праздники.",beer cocktails long_stay pharmacy restaurant romantic,0,0.5033
59,kids_cafe,куда сходить с ребенком поесть,Север Room,bar,бар до ночи фармацевт свидание футбол,bar late_hours pharmacy romantic sports_broadcasts takeaway_only,"В отзывах часто пишут: до ночи, коктейли, матчи, только навынос, романтичный.",family_friendly near_metro,0,0.0733
60,quiet_coworking,спокойное кафе для работы,Место Парк,restaurant,проектор заботливые официанты поздние часы тихо миска для собаки,big_screen friendly_staff late_hours quiet water_for_pets,"В отзывах часто пишут: поздние часы, телевизоры, концерты, спокойно, вежливый персонал.",cafe good_coffee live_music power_outlets wifi,1,0.9267
61,late_pharmacy,где купить лекарства поздно,Мята на Тверской,bar,бар только мясо лекарства матчи веган,bar meat_only pharmacy sports_broadcasts vegan,"В отзывах часто пишут: круглосуточно, аптека.",24h adults_only beer cocktails near_metro water_for_pets,1,0.89
62,terrace_restaurant,ужин на летней террасе,Мята Station,restaurant,заказ онлайн удобно с детьми саксофон только мясо кухня,delivery family_friendly jazz meat_only restaurant vegan,"В отзывах часто пишут: только мясо, растительное меню, саксофон.",cocktails good_coffee good_food terrace,1,0.9267
63,kids_cafe,кафе для детей,Север Лофт,restaurant,здоровая еда можно с собакой трансляции только навынос,healthy_food pet_friendly sports_broadcasts takeaway_only,"В отзывах часто пишут: кофе, только мясо, детская комната, дружелюбно к семье, здоровая еда.",cafe family_friendly high_chairs kids_room meat_only,1,0.9267
64,romantic_jazz_bar,романтичный джаз-бар,Оливка Парк,cafe,кофе полезное меню растительное меню интернет,cafe healthy_food vegan wifi,"В отзывах часто пишут: без молока и мяса, кофе, детские праздники.",kids_party terrace,0,0.0
65,pet_friendly,pet friendly кафе,Север Daily,cafe,живая музыка,jazz,"В отзывах часто пишут: зарядка, заботливые официанты, пускают с питомцами, живая музыка.",beer friendly_staff gluten_free pet_friendly power_outlets terrace,1,0.9267
66,vegan_food,веганское кафе,Мята Room,bar,напитки кафе закрывается рано живая музыка можно с собакой,bar cafe closed_evening live_music pet_friendly vegan,"В отзывах часто пишут: только для взрослых, коктейли.",adults_only meat_only takeaway_only,0,0.43
67,late_pharmacy,аптека ночью,Север Парк,bar,джаз летняя площадка,jazz terrace,"В отзывах часто пишут: заботливые официанты, рядом с метро.",24h friendly_staff near_metro pharmacy power_outlets,1,0.89
68,romantic_jazz_bar,бар с живым джазом для свидания,Место Плюс,cafe,эль живая музыка,beer jazz,"В отзывах часто пишут: коктейли, капучино.",24h bar good_coffee power_outlets romantic,1,0.78
69,terrace_restaurant,кафе с открытой верандой,Атлас Лофт,restaurant,работает допоздна с животными нельзя блюда трансляции,late_hours no_pets restaurant sports_broadcasts,"В отзывах часто пишут: ресторан, громкая музыка, матчи.",beer loud_music romantic terrace,1,0.78
70,pet_friendly,ресторан куда можно с собакой,Место Плюс,cafe,удобно с детьми pet friendly терраса,family_friendly pet_friendly terrace,"В отзывах часто пишут: живая музыка, концерты, кафе.",cafe jazz live_music reservation,1,0.8533
71,terrace_restaurant,ужин на летней террасе,Оливка Лофт,pharmacy,коктейли концерты фармацевт футбол,bar live_music pharmacy sports_broadcasts,"В отзывах часто пишут: удобно с детьми, крафт.",beer family_friendly kids_room long_stay,0,0.0733
72,late_pharmacy,круглосуточная аптека рядом,Фонарь Плюс,bar,спокойно веган,quiet vegan,"В отзывах часто пишут: ночью открыто, блюда, закрывается рано, не шумно.",24h closed_evening restaurant,0,0.04
73,romantic_jazz_bar,бар с живым джазом для свидания,Фонарь Лофт,bar,gluten free полезное меню с животными нельзя,gluten_free healthy_food no_pets,"В отзывах часто пишут: живая музыка, коктейли, gluten free, с животными нельзя, очень шумно.",bar delivery jazz late_hours live_music noisy restaurant romantic water_for_pets,0,0.5767
74,sports_bar,бар посмотреть футбол,Соль на углу,cafe,проектор спокойно заказ столика футбол летняя площадка,big_screen quiet reservation sports_broadcasts terrace vegan,"В отзывах часто пишут: веранда, лекарства, не шумно, телевизоры.",bar friendly_staff kids_party late_hours pharmacy,0,0.5767
75,kids_cafe,куда сходить с ребенком поесть,Город Station,bar,дружелюбно к семье high_chairs тихо резерв вода питомцам,family_friendly high_chairs quiet reservation water_for_pets,"В отзывах часто пишут: бронь, детская комната, семейно, тихо, миска для собаки.",cafe desserts kids_room water_for_pets,1,1.0
76,pet_friendly,pet friendly кафе,Оливка Парк,restaurant,коктейли заботливые официанты работает допоздна живая музыка ужин,cocktails friendly_staff late_hours live_music restaurant,"В отзывах часто пишут: миска для собаки, выступления, пиво.",bar beer pet_friendly water_for_pets,1,0.9267
77,romantic_jazz_bar,уютный джазовый бар,Север Плюс,bar,только для взрослых крафт саксофон детская комната романтичный,adults_only beer jazz kids_room romantic sports_broadcasts,"В отзывах часто пишут: аниматор, только для взрослых, пиво, напитки, трансляции.",24h bar late_hours near_metro,1,0.8533
78,terrace_restaurant,кафе с открытой верандой,Мята Плюс,bar,коктейли саксофон резерв,bar jazz reservation,"В отзывах часто пишут: дружелюбно к семье, хорошие блюда, кухня, бронь, детские праздники.",family_friendly good_food kids_party restaurant terrace,1,1.0
79,kids_cafe,семейное кафе с игровой комнатой,Мята Парк,restaurant,кофе спокойно резерв кухня вода питомцам,cafe quiet reservation restaurant water_for_pets,"В отзывах часто пишут: крафт, ужин, спокойно, заказ столика.",beer,0,0.39
80,vegan_food,веганское кафе,Атлас на Тверской,bar,можно с собакой только навынос веган,pet_friendly takeaway_only vegan,"В отзывах часто пишут: только навынос, веган.",good_food,1,0.8533
81,late_pharmacy,где купить лекарства поздно,Соль Лофт,bar,только для взрослых крафт,adults_only beer,"В отзывах часто пишут: только для взрослых, рядом с метро, пиво, фармацевт, можно с собакой.",24h delivery near_metro pet_friendly pharmacy,1,1.0
82,terrace_restaurant,кафе с открытой верандой,Оливка на Тверской,restaurant,семейно сильная кухня можно сидеть долго резерв кухня,family_friendly good_food long_stay reservation restaurant terrace,"В отзывах часто пишут: кухня, тихо, не торопят.",pharmacy quiet,1,1.0
83,vegan_food,ресторан с vegan меню,Город Парк,bar,без глютена только мясо,gluten_free meat_only,"В отзывах часто пишут: только мясо, сильная кухня, gluten free, веган, полезное меню.",closed_evening good_food healthy_food meat_only sports_broadcasts vegan,1,0.65
84,terrace_restaurant,ресторан с верандой,Место Daily,restaurant,только для взрослых большой экран ужин,adults_only big_screen restaurant,"В отзывах часто пишут: летняя площадка, очень шумно, блюда.",good_food noisy terrace,1,0.8533
85,terrace_restaurant,ресторан с верандой,Город на углу,cafe,барная карта концерты бронь,cocktails live_music reservation,"В отзывах часто пишут: семейно, живая музыка.",beer family_friendly good_food late_hours noisy restaurant terrace water_for_pets,1,1.0
86,romantic_jazz_bar,бар с живым джазом для свидания,Атлас Station,restaurant,закрывается рано полезное меню спокойно кухня летняя площадка,closed_evening healthy_food quiet restaurant terrace,"В отзывах часто пишут: спокойно, терраса.",sports_broadcasts wifi,0,0.0
87,vegan_food,веганское кафе,Мята Парк,bar,паб проектор зерно можно сидеть долго футбол,bar big_screen good_coffee long_stay sports_broadcasts wifi,"В отзывах часто пишут: не торопят, только мясо, бар, заказ онлайн, капучино.",delivery meat_only pharmacy quiet terrace,0,0.0
88,sports_bar,спортбар с трансляциями,Оливка Room,bar,только для взрослых бар детские праздники,adults_only bar kids_party,"В отзывах часто пишут: тихо, gluten free, паб, крафт, только для взрослых.",beer big_screen gluten_free quiet sports_broadcasts vegan,0,0.5767
89,vegan_food,веганское кафе,Атлас на углу,restaurant,спокойно кухня вода питомцам,quiet restaurant water_for_pets,"В отзывах часто пишут: ресторан, спокойно, только мясо, романтичный.",meat_only romantic vegan,0,0.43
90,sports_bar,бар посмотреть футбол,Место на углу,cafe,ночью открыто у метро свидание растительное меню интернет,24h near_metro romantic vegan wifi,"В отзывах часто пишут: у метро, веган, трансляции, закрывается рано.",closed_evening kids_room power_outlets quiet sports_broadcasts,0,0.04
91,vegan_food,веганское кафе,Фонарь Лофт,bar,коктейли саксофон детское меню только навынос без молока и мяса,bar jazz kids_room takeaway_only vegan,"В отзывах часто пишут: детская комната, веган, только навынос, только мясо, паб.",delivery kids_room meat_only,0,0.43
92,pet_friendly,pet friendly кафе,Север на Тверской,restaurant,хороший кофе рядом с метро с животными нельзя очень шумно пускают с питомцами,good_coffee near_metro no_pets noisy pet_friendly terrace,"В отзывах часто пишут: pet friendly, вода питомцам, напитки.",bar closed_evening friendly_staff jazz romantic water_for_pets,1,0.65
93,romantic_jazz_bar,романтичный джаз-бар,Атлас на Тверской,bar,ночью открыто бар концерты pet friendly миска для собаки,24h bar live_music pet_friendly water_for_pets,"В отзывах часто пишут: миска для собаки, круглосуточно, веранда.",sports_broadcasts terrace,0,0.3333
94,romantic_jazz_bar,романтичный джаз-бар,Место на углу,restaurant,закрывается рано удобно с детьми ужин терраса растительное меню,closed_evening family_friendly restaurant terrace vegan,"В отзывах часто пишут: закрывается рано, летняя площадка.",bar noisy water_for_pets,0,0.0
95,kids_cafe,семейное кафе с игровой комнатой,Фонарь Лофт,pharmacy,паб сильная кухня аптека,bar good_food pharmacy,"В отзывах часто пишут: детские праздники, можно сидеть долго, вкусно, только для взрослых, паб.",adults_only kids_party long_stay,0,0.0
96,pet_friendly,заведение с животными,Город Room,cafe,ночью открыто кофе детские праздники детское меню пускают с питомцами,24h cafe kids_party kids_room pet_friendly wifi,"В отзывах часто пишут: pet friendly, кофейня, детская комната, интернет.",closed_evening,1,0.78
97,romantic_jazz_bar,романтичный джаз-бар,Мята Daily,restaurant,можно с собакой романтичный,pet_friendly romantic,"В отзывах часто пишут: телевизоры, у метро.",24h big_screen near_metro,0,0.26
98,pet_friendly,pet friendly кафе,Оливка на Тверской,cafe,кафе вежливый персонал концерты миска для собаки,cafe friendly_staff live_music water_for_pets,"В отзывах часто пишут: резерв, место для ноутбука.",pet_friendly power_outlets reservation,1,0.9267
99,pet_friendly,заведение с животными,Север Room,pharmacy,работает допоздна лекарства,late_hours pharmacy,"В отзывах часто пишут: только для взрослых, до ночи.",adults_only,0,0.0
100,kids_cafe,кафе для детей,Соль Daily,restaurant,desserts семейно high_chairs детские праздники детская комната,desserts family_friendly high_chairs kids_party kids_room long_stay pet_friendly,"В отзывах часто пишут: детское меню, high_chairs, кафе, коктейли, авторские напитки.",bar cafe cocktails friendly_staff near_metro,1,1.0
101,quiet_coworking,кофейня с розетками и wifi,Соль Плюс,restaurant,большой экран ужин,big_screen restaurant,"В отзывах часто пишут: кухня, тихо, розетки, телевизоры.",power_outlets quiet,0,0.3333
102,terrace_restaurant,ресторан с верандой,Оливка Daily,restaurant,24 часа у метро фармацевт заказ столика блюда,24h near_metro pharmacy reservation restaurant water_for_pets,"В отзывах часто пишут: футбол, у метро, кухня, бронь.",near_metro reservation sports_broadcasts takeaway_only wifi,0,0.1133
103,romantic_jazz_bar,уютный джазовый бар,Север Лофт,cafe,до ночи свидание летняя площадка,late_hours romantic terrace,"В отзывах часто пишут: свидание, бар, концерты.",bar jazz live_music,1,0.9267
104,sports_bar,бар посмотреть футбол,Мята Парк,pharmacy,эль хорошие блюда джаз поздние часы фармацевт,beer good_food jazz late_hours pharmacy power_outlets sports_broadcasts,"В отзывах часто пишут: лекарства, трансляции, зарядка, заботливые официанты.",adults_only bar friendly_staff pharmacy,1,0.9267
105,pet_friendly,pet friendly кафе,Атлас Room,pharmacy,ночью открыто крафт рядом с метро очень шумно можно с собакой,24h beer near_metro noisy pet_friendly pharmacy wifi,"В отзывах часто пишут: у метро, заботливые официанты, очень шумно, кухня, вайфай.",friendly_staff no_pets restaurant vegan,0,0.5033
106,late_pharmacy,где купить лекарства поздно,Город Station,bar,напитки эль рядом с метро бронь,bar beer near_metro reservation,"В отзывах часто пишут: заказ онлайн, пиво.",24h bar big_screen delivery pharmacy vegan,1,1.0
107,terrace_restaurant,ужин на летней террасе,Город Парк,restaurant,полезное меню только мясо бронь,healthy_food meat_only reservation,"В отзывах часто пишут: с животными нельзя, только мясо.",good_food healthy_food no_pets restaurant terrace,1,0.9267
108,sports_bar,паб с большим экраном,Оливка Daily,restaurant,рядом с метро свидание веранда,near_metro romantic terrace,"В отзывах часто пишут: рядом с метро, романтичный, концерты, терраса.",live_music romantic,0,0.0
109,pet_friendly,заведение с животными,Город Room,bar,коктейли удобные столы только мясо у метро пускают с питомцами,bar long_stay meat_only near_metro pet_friendly sports_broadcasts,"В отзывах часто пишут: трансляции, бар, очень шумно, только мясо, ресторан.",jazz no_pets noisy restaurant,0,0.43
110,sports_bar,спортбар с трансляциями,Оливка на Тверской,cafe,кофе детская комната веган,cafe kids_room vegan,"В отзывах часто пишут: телевизоры, веган.",big_screen quiet,0,0.0
111,pet_friendly,заведение с животными,Север на углу,cafe,закрывается рано pet friendly,closed_evening pet_friendly,"В отзывах часто пишут: закрывается рано, джаз, вода питомцам, до ночи, pet friendly.",jazz late_hours water_for_pets,1,0.8533
112,sports_bar,паб с большим экраном,Соль Плюс,restaurant,работает допоздна кухня веранда,late_hours restaurant terrace,"В отзывах часто пишут: веган, удобно с детьми.",cafe family_friendly vegan,0,0.0733
